0#.SPCY,0#.SP400,0#.SPX
UNIT.OQ,X.N,IPG.N
MYGN.OQ,CVLT.OQ,PHM.N
PECO.OQ,FIVE.OQ,ANSS.OQ
PCRX.OQ,OLED.OQ,ULTA.OQ
BANR.OQ,KRG.N,KO.N
SPTN.OQ,VLY.OQ,CSCO.OQ
WT.N,BJ.N,WTW.OQ
ASIX.N,SCI.N,ANET.N
RGR.N,HGV.N,ES.N
NHC.A,MAN.N,CTAS.OQ
YELP.N,GMED.N,GPN.N
PRK.A,RRX.N,RSG.N
KLIC.OQ,SKX.N,LIN.OQ
SEM.N,SSD.N,MCK.N
INVX.N,BWXT.N,HLT.N
MNRO.OQ,COTY.N,NFLX.OQ
THRY.OQ,BMRN.OQ,FI.N
FFBC.OQ,EXPO.OQ,RF.N
HASI.N,KBR.N,WMT.N
BHE.N,MAT.OQ,AMGN.OQ
CON.N,EVR.N,KIM.N
RDN.N,MSM.N,DG.N
BFH.N,WMS.N,EQR.N
ICUI.OQ,SON.N,URI.N
SLVM.N,PAG.N,TDG.N
JACK.OQ,UMBF.OQ,CNC.N
JXN.N,SAM.N,NKE.N
CTRE.N,PII.N,AES.N
SBH.N,ADC.N,ELV.N
NEO.OQ,RGA.N,GWW.N
ZWS.N,VAC.N,K.N
ADNT.N,ELF.N,GOOGL.OQ
ICHR.OQ,AVT.OQ,GM.N
RGNX.OQ,AMG.N,CCI.N
BOOT.N,VMI.N,COF.N
HOPE.OQ,JEF.N,C.N
KN.N,QLYS.OQ,ODFL.OQ
FBK.N,NXT.OQ,A.N
GRBK.N,UAA.N,MOH.N
IBTX.OQ,G.N,GS.N
PBI.N,CHH.N,MET.N
NSIT.OQ,TCBI.OQ,WYNN.OQ
FSS.N,EQH.N,PSA.N
HBI.N,OSK.N,CPT.N
TRMK.OQ,GTLS.N,GDDY.N
CTKB.OQ,MMS.N,MRNA.OQ
RNST.N,PNFP.OQ,BK.N
SFNC.OQ,POST.N,FAST.OQ
BGC.OQ,WEN.OQ,LDOS.N
BHLB.N,WH.N,ORLY.OQ
CNSL.OQ,RLI.N,CSX.OQ
KREF.N,ASB.N,CFG.N
SMPL.OQ,RGEN.OQ,NI.N
SJW.OQ,DUOL.OQ,MO.N
JJSF.OQ,GLPI.OQ,DD.N
BLFS.OQ,CAR.OQ,AEP.OQ
AGYS.OQ,ARWR.OQ,HOLX.OQ
AL.N,LNW.OQ,BX.N
GTY.N,WTRG.N,BBY.N
OXM.N,MUSA.N,LHX.N
NABL.N,ENSG.OQ,APA.OQ
ARCH.N,FOUR.N,IFF.N
MDU.N,VOYA.N,CEG.OQ
TWO.N,RRC.N,STT.N
